Tahun.Akademik,Tanggal.Daftar,Program.Studi,Jumlah.Mhs,Jumlah.Grade.A,Jumlah.Grade.B,Jumlah.Grade.C,Jumlah.Grade.D,Kode.Sekolah,Nama.Sekolah,Nama.Kota,,,,,,
2010/2011,01-06-2010,AKUNTANSI (S-1),1,0,0,1,0,10210877,SMAN 13 MEDAN,MEDAN,,,,,,
2010/2011,01-06-2010,MANAJEMEN (S-1),1,0,1,0,0,10210920,SMA S S. GAJAH MADA 2 MEDAN,MEDAN,,,,,,
2010/2011,01-06-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10257832,SMA GAJAH MADA DURIAN,MEDAN,,,,,,
2010/2011,01-06-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210853,SMAN 2 MEDAN,MEDAN,,,,,,
2010/2011,01-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10211316,SMA METHODIST BINJAI,BINJAI,,,,,,
2010/2011,01-07-2010,TEKNIK INFORMATIKA (S-1),1,1,0,0,0,10212022,SMA SISINGAMANGARAJA,TANJUNG BALAI,,,,,,
2010/2011,01-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210714,SMA S HANG KESTURI,MEDAN,,,,,,
2010/2011,01-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210750,SMA S HUSNI THAMRIN,MEDAN,,,,,,
2010/2011,01-07-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10205374,SMA PANGLIMA POLEM R. PRAPAT,LABUHAN BATU,,,,,,
2010/2011,01-07-2010,AKUNTANSI (S-1),1,0,1,0,0,10210848,SMA S SUTOMO 1,MEDAN,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210750,SMA S HUSNI THAMRIN,MEDAN,,,,,,
2010/2011,01-09-2010,MANAJEMEN (S-1),1,0,0,1,0,10210723,SMA S BUDI UTOMO,MEDAN,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,1,0,0,10210756,SMA S JENDRAL SUDIRMAN,MEDAN,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10210764,SMKN 4 MEDAN,MEDAN,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210818,SMA S AL ULUM,MEDAN,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210824,SMA S TELADAN MEDAN,MEDAN,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10210924,SMA S RAKSANA MEDAN,MEDAN,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210902,SMA S METHODIST 1,MEDAN,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,0,1,10210905,SMA S METHODIST 7,MEDAN,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10210864,SMAN 15 MEDAN,MEDAN,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10205384,SMAN 1 RANTAU UTARA,LABUHAN BATU,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10207086,SMAN 1 PADANGSIDIMPUAN TIMUR,TAPANULI SELATAN,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10208520,SMAN 2 BALIGE,TOBA SAMOSIR,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10211699,SMK CINTA RAKYAT ( STM ),PEMATANG SIANTAR,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10211291,SMA AHMAD YANI,BINJAI,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,0,1,0,10257751,SMA S YAPIM TEBING SYAHBANDAR,SERDANG BEDAGAI,,,,,,
2010/2011,01-09-2010,SISTEM INFORMASI (S-1),1,0,0,1,0,10258023,SMA KATOLIK TRISAKTI,MEDAN,,,,,,
2010/2011,01-09-2010,TEKNIK INFORMATIKA (S-1),1,0,1,0,0,10202005,SMA SANTA MARIA KABANJAHE,KARO,,,,,,
